Number_added,Name_orginial,Author,Reviews_count,User_rating,Price,Year,Genre,Title_upper,Series,Series_number,Author_upper,LastName_first_no_titlesDRJR,Audience,Adult_interest,Title_word_count,Author_count_all,Authors_last_three
56,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,"3,871",4.8,$5.00,2015,Non Fiction,CREATIVE HAVEN OWLS COLORING BOOK,Adult Coloring,,MARJORIE SARNAT,"SARNAT, MARJORIE",Adult,Adult,7,2,0
30,Balance (Angie's Extreme Stress Menders),Angie Grace,"1,909",4.6,$11.00,2015,Non Fiction,BALANCE,Angie's Extreme Stress Menders,,ANGIE GRACE,"GRACE, ANGIE",Adult,Adult,5,1,0
127,Giraffes Can't Dance,Giles Andreae,"14,038",4.8,$4.00,2018,Fiction,GIRAFFES CAN'T DANCE,(blank),,GILES ANDREAE,"ANDREAE, GILES",CH,Not_adult,3,5,5
197,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,"11,391",4.5,$12.00,2013,Non Fiction,KILLING JESUS,Bill O'Reilly's Killing Series,,BILL O'REILLY,"O'REILLY, BILL",Adult,Adult,6,7,0
199,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,"9,342",4.7,$10.00,2011,Non Fiction,KILLING LINCOLN: THE SHOCKING ASSASSINATION THAT CHANGED AMERICA FOREVER,Bill O'Reilly's Killing Series,,BILL O'REILLY,"O'REILLY, BILL",Adult,Adult,13,7,0
200,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,"9,342",4.7,$10.00,2012,Non Fiction,KILLING LINCOLN: THE SHOCKING ASSASSINATION THAT CHANGED AMERICA FOREVER,Bill O'Reilly's Killing Series,,BILL O'REILLY,"O'REILLY, BILL",Adult,Adult,13,7,0
201,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,"10,927",4.6,$6.00,2014,Non Fiction,KILLING PATTON: THE STRANGE DEATH OF WORLD WAR II'S MOST AUDACIOUS GENERAL,Bill O'Reilly's Killing Series,,BILL O'REILLY,"O'REILLY, BILL",Adult,Adult,16,7,0
202,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,"5,235",4.6,$5.00,2015,Non Fiction,KILLING REAGAN: THE VIOLENT ASSAULT THAT CHANGED A PRESIDENCY,Bill O'Reilly's Killing Series,,BILL O'REILLY,"O'REILLY, BILL",Adult,Adult,13,7,0
203,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,"8,916",4.8,$6.00,2016,Non Fiction,KILLING THE RISING SUN: HOW AMERICA VANQUISHED WORLD WAR II JAPAN,Bill O'Reilly's Killing Series,,BILL O'REILLY,"O'REILLY, BILL",Adult,Adult,15,7,0
497,Thirteen Reasons Why,Jay Asher,"7,932",4.5,$9.00,2017,Fiction,THIRTEEN REASONS WHY,(blank),,JAY ASHER,"ASHER, JAY",YA,Not_adult,3,1,1
529,What Pet Should I Get? (Classic Seuss),Dr. Seuss,"1,873",4.7,$14.00,2015,Fiction,WHAT PET SHOULD I GET?,Classic Seuss,,DR. SEUSS,"SEUSS, DR.",CH,Not_adult,7,9,0
400,The Handmaid's Tale,Margaret Atwood,"29,442",4.3,$7.00,2017,Fiction,THE HANDMAID'S TALE,(blank),,MARGARET ATWOOD,"ATWOOD, MARGARET",Adult,Adult,3,1,1
90,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,"2,134",4.6,$5.00,2015,Non Fiction,DOVER CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK,Creative Haven Coloring Books,,MARTY NOBLE,"NOBLE, MARTY",Adult,Adult,13,1,0
43,"Cabin Fever: Diary of a Wimpy Kid, Book 6 (Diary of a Wimpy Kid)",Jeff Kinney,"4,505",4.8,$8.85,2011,Fiction,CABIN FEVER: DIARY OF A WIMPY KID,Diary of a Wimpy Kid,6,JEFF KINNEY,"KINNEY, JEFF",CH,Not_adult,12,12,0
72,"Hard Luck: Diary of a Wimpy Kid, Book 8 (Diary of a Wimpy Kid)",Jeff Kinney,"6,812",4.8,$8.85,2013,Fiction,HARD LUCK: DIARY OF A WIMPY KID,Diary of a Wimpy Kid,8,JEFF KINNEY,"KINNEY, JEFF",CH,Not_adult,12,12,0
15,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,"5,013",4.6,$17.00,2009,Non Fiction,"ACT LIKE A LADY, THINK LIKE A MAN: WHAT MEN REALLY THINK ABOUT LOVE, RELATIONSHIPS, INTIMACY, AND COMMITMENT",(blank),,STEVE HARVEY,"HARVEY, STEVE",Adult,Adult,18,1,0
26,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,798,4.6,$5.00,2009,Non Fiction,ARGUING WITH IDIOTS: HOW TO STOP SMALL MINDS AND BIG GOVERNMENT,(blank),,GLENN BECK,"BECK, GLENN",Adult,Adult,11,3,0
89,"Double Down: Diary of a Wimpy Kid, Book 11 (Diary of a Wimpy Kid)",Jeff Kinney,"5,118",4.8,$20.00,2016,Fiction,DOUBLE DOWN: DIARY OF A WIMPY KID,Diary of a Wimpy Kid,11,JEFF KINNEY,"KINNEY, JEFF",CH,Not_adult,12,12,0
11,A Man Called Ove: A Novel,Fredrik Backman,"23,848",4.6,$8.00,2017,Fiction,A MAN CALLED OVE: A NOVEL,(blank),,FREDRIK BACKMAN,"BACKMAN, FREDRIK",Adult,Adult,6,2,2
469,"The Third Wheel: Diary of a Wimpy Kid, Book 7 (Diary of a Wimpy Kid)",Jeff Kinney,"6,377",4.7,$7.00,2012,Fiction,THE THIRD WHEEL: DIARY OF A WIMPY KID,Diary of a Wimpy Kid,7,JEFF KINNEY,"KINNEY, JEFF",CH,Not_adult,14,12,0
475,"The Ugly Truth: Diary of a Wimpy Kid, Book 5 (Diary of a Wimpy Kid)",Jeff Kinney,"3,796",4.8,$12.00,2010,Fiction,THE UGLY TRUTH: DIARY OF A WIMPY KID,Diary of a Wimpy Kid,5,JEFF KINNEY,"KINNEY, JEFF",CH,Not_adult,13,12,0
204,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,"2,507",4.8,$8.00,2018,Non Fiction,KITCHEN CONFIDENTIAL UPDATED EDITION: ADVENTURES IN THE CULINARY UNDERBELLY,P.S.,,ANTHONY BOURDAIN,"BOURDAIN, ANTHONY",Adult,Adult,10,1,1
23,Allegiant (Divergent Series),Veronica Roth,"6,310",3.9,$13.00,2013,Fiction,ALLEGIANT,Divergent Series,3,VERONICA ROTH,"ROTH, VERONICA",YA,Not_adult,3,4,0
76,Divergent (Divergent Series),Veronica Roth,"27,098",4.6,$15.00,2013,Fiction,DIVERGENT,Divergent Series,1,VERONICA ROTH,"ROTH, VERONICA",YA,Not_adult,3,4,0
77,Divergent (Divergent Series),Veronica Roth,"27,098",4.6,$15.00,2014,Fiction,DIVERGENT,Divergent Series,1,VERONICA ROTH,"ROTH, VERONICA",YA,Not_adult,3,4,0
78,Insurgent (Divergent Series),Veronica Roth,"17,684",4.5,$6.00,2014,Fiction,INSURGENT,Divergent Series,2,VERONICA ROTH,"ROTH, VERONICA",YA,Not_adult,3,4,0
240,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,"5,347",4.8,$16.00,2019,Non Fiction,"NATIONAL GEOGRAPHIC KIDS WHY?: OVER 1,111 ANSWERS TO EVERYTHING",(blank),,CRISPIN BOYER,"BOYER, CRISPIN",CH,Not_adult,9,1,1
392,The Going-To-Bed Book,Sandra Boynton,"5,249",4.8,$5.00,2017,Fiction,THE GOING-TO-BED BOOK,(blank),,SANDRA BOYNTON,"BOYNTON, SANDRA",CH,Not_adult,3,2,2
102,Fahrenheit 451,Ray Bradbury,"10,721",4.6,$8.00,2018,Fiction,FAHRENHEIT 451,(blank),,RAY BRADBURY,"BRADBURY, RAY",Adult,Adult,2,2,2
109,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed) (Fifty Shades Trilogy),E L James,"13,964",4.5,$32.00,2012,Fiction,FIFTY SHADES TRILOGY,Fifty Shades of Grey Series,1-3,E L JAMES,"JAMES, L E",Adult,Adult,15,6,0
106,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,"20,262",4.5,$11.00,2012,Fiction,FIFTY SHADES FREED: BOOK THREE OF THE FIFTY SHADES TRILOGY,Fifty Shades of Grey Series,3,E L JAMES,"JAMES, L E",Adult,Adult,17,6,0
107,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,"47,265",3.8,$14.00,2012,Fiction,FIFTY SHADES OF GREY: BOOK ONE OF THE FIFTY SHADES TRILOGY,Fifty Shades of Grey Series,1,E L JAMES,"JAMES, L E",Adult,Adult,16,6,0
108,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,"47,265",3.8,$14.00,2013,Fiction,FIFTY SHADES OF GREY: BOOK ONE OF THE FIFTY SHADES TRILOGY,Fifty Shades of Grey Series,1,E L JAMES,"JAMES, L E",Adult,Adult,16,6,0
150,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,"25,624",4.4,$14.00,2015,Fiction,GREY: FIFTY SHADES OF GREY AS TOLD BY CHRISTIAN,Fifty Shades of Grey Series,4,E L JAMES,"JAMES, L E",Adult,Adult,14,6,0
296,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,"9,366",4.7,$9.00,2015,Non Fiction,SECRET GARDEN: AN INKY TREASURE HUNT AND COLORING BOOK,"For Adults, mindfulness coloring",,JOHANNA BASFORD,"BASFORD, JOHANNA",Adult,Adult,11,2,0
195,Joyland (Hard Case Crime),Stephen King,"4,748",4.5,$12.00,2013,Fiction,JOYLAND,Hard Case Crime,,STEPHEN KENDRICK,"KENDRICK, STEPHEN",Adult,Adult,4,4,0
103,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J. K. Rowling,"4,370",4.7,$15.00,2016,Fiction,FANTASTIC BEASTS AND WHERE TO FIND THEM: THE ORIGINAL SCREENPLAY,Harry Potter,,J. K. ROWLING,"ROWLING, J. K.",YA,Not_adult,12,8,0
154,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J. K. Rowling,"19,622",4.9,$30.00,2016,Fiction,HARRY POTTER AND THE CHAMBER OF SECRETS: THE ILLUSTRATED EDITION,Harry Potter,,J. K. ROWLING,"ROWLING, J. K.",YA,Not_adult,12,8,0
259,Origin: A Novel (Robert Langdon),Dan Brown,"18,904",4.3,$13.00,2017,Fiction,ORIGIN: A NOVEL,Robert Langdon,,DAN BROWN,"BROWN, DAN",Adult,Adult,5,3,3
146,Goodnight Moon,Margaret Wise Brown,"8,837",4.8,$5.00,2019,Fiction,GOODNIGHT MOON,(blank),,MARGARET WISE BROWN,"BROWN, WISE MARGARET",CH,Not_adult,2,3,3
158,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J. K. Rowling,"10,052",4.9,$22.00,2016,Fiction,HARRY POTTER AND THE SORCERER'S STONE: THE ILLUSTRATED EDITION,Harry Potter,,J. K. ROWLING,"ROWLING, J. K.",YA,Not_adult,11,8,0
429,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,"4,506",4.8,$14.00,2010,Fiction,THE LOST HERO,Heroes of Olympus ,1,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,6,11,0
407,"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,"6,982",4.8,$14.00,2013,Fiction,THE HOUSE OF HADES,Heroes of Olympus,4,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,7,11,0
433,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,"6,247",4.8,$10.00,2012,Fiction,THE MARK OF ATHENA,Heroes of Olympus,3,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,7,11,0
464,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,"4,290",4.8,$10.00,2011,Fiction,THE SON OF NEPTUNE,Heroes of Olympus,2,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,7,11,0
184,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,"5,299",4.6,$20.00,2011,Fiction,INHERITANCE,Inheritance Cycle,4,CHRISTOPHER PAOLINI,"PAOLINI, CHRISTOPHER",YA,Not_adult,3,1,0
44,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,"10,369",4.6,$4.00,2016,Non Fiction,CALM THE F*CK DOWN: AN IRREVERENT ADULT COLORING BOOK,Irreverent Book Series,,SASHA O'HARA,"O'HARA, SASHA",CH,Not_adult,12,1,0
316,Sycamore Row (Jake Brigance),John Grisham,"23,114",4.5,$18.00,2013,Fiction,SYCAMORE ROW,Jake Brigance,,JOHN GRISHAM,"GRISHAM, JOHN",Adult,Adult,4,5,0
117,Frozen (Little Golden Book),RH Disney,"3,642",4.7,$8.85,2014,Fiction,FROZEN,Little Golden Book,,RH DISNEY,RH Disney,CH,Not_adult,4,2,0
387,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,"7,251",4.7,$9.00,2010,Fiction,THE GIRL WHO PLAYED WITH FIRE,Millennium Series,2,STIEG LARSSON,"LARSSON, STIEG",Adult,Adult,8,6,0
39,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,"9,769",4.6,$13.00,2009,Fiction,BREAKING DAWN,The Twilight Saga,4,STEPHENIE MEYER,"MEYER, STEPHENIE",YA,Not_adult,4,7,0
51,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,"1,542",4.7,$14.00,2009,Non Fiction,CRAZY LOVE: OVERWHELMED BY A RELENTLESS GOD,(blank),,FRANCIS CHAN,"CHAN, FRANCIS",Adult,Adult,7,3,0
390,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,"10,559",4.4,$2.00,2010,Fiction,THE GIRL WITH THE DRAGON TATTOO,Millennium Series,1,STIEG LARSSON,"LARSSON, STIEG",Adult,Adult,8,6,0
61,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,"1,541",4.6,$4.00,2009,Fiction,DEAD AND GONE,Sookie Stackhouse/True Blood,9,CHARLAINE HARRIS,"HARRIS, CHARLAINE",Adult,Adult,6,4,0
385,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,"7,747",4.7,$14.00,2010,Fiction,THE GIRL WHO KICKED THE HORNET'S NEST,Millennium Trilogy,3,STIEG LARSSON,"LARSSON, STIEG",Adult,Adult,9,6,0
386,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,"7,747",4.7,$14.00,2011,Fiction,THE GIRL WHO KICKED THE HORNET'S NEST,Millennium Trilogy,3,STIEG LARSSON,"LARSSON, STIEG",Adult,Adult,9,6,0
144,Goodnight Moon,Margaret Wise Brown,"8,837",4.8,$5.00,2017,Fiction,GOODNIGHT MOON,(blank),,MARGARET WISE BROWN,"BROWN, WISE MARGARET",CH,Not_adult,2,3,3
243,Night (Night),Elie Wiesel,"5,178",4.7,$9.00,2016,Non Fiction,NIGHT,Night,,ELIE WIESEL,"WIESEL, ELIE",Adult,Adult,2,1,0
145,Goodnight Moon,Margaret Wise Brown,"8,837",4.8,$5.00,2018,Fiction,GOODNIGHT MOON,(blank),,MARGARET WISE BROWN,"BROWN, WISE MARGARET",CH,Not_adult,2,3,3
476,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,"9,030",4.7,$10.00,2019,Non Fiction,THE UNOFFICIAL HARRY POTTER COOKBOOK: FROM CAULDRON CAKES TO KNICKERBOCKER GLORY--MORE THAN 150 MAGICAL RECIPES FOR…,(blank),,DINAH BUCHOLZ,"BUCHOLZ, DINAH",YA,Not_adult,16,1,1
79,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,37,4.6,$6.00,2009,Non Fiction,"DIVINE SOUL MIND BODY HEALING AND TRANSMISSION SYSTEM: THE DIVINE WAY TO HEAL YOU, HUMANITY, MOTHER EARTH, AND ALL…",(blank),,ZHI GANG SHA,"SHA, GANG ZHI",Adult,Adult,19,2,0
420,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,"4,628",4.8,$7.00,2010,Fiction,THE LAST OLYMPIAN,Percy Jackson and the Olympians,5,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,8,11,0
393,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,"33,844",3.9,$20.00,2013,Fiction,THE GOLDFINCH: A NOVEL,Pulitzer Prize for Fiction,,DONNA TARTT,"TARTT, DONNA",Adult,Adult,8,2,0
394,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,"33,844",3.9,$20.00,2014,Fiction,THE GOLDFINCH: A NOVEL,Pulitzer Prize for Fiction,,DONNA TARTT,"TARTT, DONNA",Adult,Adult,8,2,0
66,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,"10,922",4.8,$5.00,2017,Fiction,DEAR ZOO: A LIFT-THE-FLAP BOOK,(blank),,ROD CAMPBELL,"CAMPBELL, ROD",CH,Not_adult,5,4,4
67,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,"10,922",4.8,$5.00,2018,Fiction,DEAR ZOO: A LIFT-THE-FLAP BOOK,(blank),,ROD CAMPBELL,"CAMPBELL, ROD",CH,Not_adult,5,4,4
481,The Very Hungry Caterpillar,Eric Carle,"19,546",4.9,$5.00,2017,Fiction,THE VERY HUNGRY CATERPILLAR,(blank),,ERIC CARLE,"CARLE, ERIC",CH,Not_adult,4,7,7
482,The Very Hungry Caterpillar,Eric Carle,"19,546",4.9,$5.00,2018,Fiction,THE VERY HUNGRY CATERPILLAR,(blank),,ERIC CARLE,"CARLE, ERIC",CH,Not_adult,4,7,7
81,"Dog Days: Diary of a Wimpy Kid, Book 4 (Diary of a Wimpy Kid)",Jeff Kinney,"3,181",4.8,$12.00,2009,Fiction,DOG DAYS: DIARY OF A WIMPY KID,Diary of a Wimpy Kid,4,JEFF KINNEY,"KINNEY, JEFF",CH,Not_adult,12,12,0
62,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,"1,924",4.3,$8.00,2010,Fiction,DEAD IN THE FAMILY,Sookie Stackhouse/True Blood,10,CHARLAINE HARRIS,"HARRIS, CHARLAINE",Adult,Adult,7,4,0
63,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,"2,094",4.2,$4.00,2011,Fiction,DEAD RECKONING,Sookie Stackhouse/True Blood,11,CHARLAINE HARRIS,"HARRIS, CHARLAINE",Adult,Adult,5,4,0
92,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,720,4.5,$1.00,2009,Non Fiction,EAT THIS NOT THAT! SUPERMARKET SURVIVAL GUIDE: THE NO-DIET WEIGHT LOSS SOLUTION,(blank),,DAVID ZINCZENKO,"ZINCZENKO, DAVID",Adult,Adult,12,2,0
483,The Very Hungry Caterpillar,Eric Carle,"19,546",4.9,$5.00,2019,Fiction,THE VERY HUNGRY CATERPILLAR,(blank),,ERIC CARLE,"CARLE, ERIC",CH,Not_adult,4,7,7
360,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,440,4.4,$11.00,2010,Non Fiction,THE DAILY SHOW WITH JON STEWART PRESENTS EARTH,The Book: A Visitor's Guide to the Human Race,,JON STEWART,"STEWART, JON",Adult,Adult,17,1,0
458,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,"1,204",4.6,$14.00,2010,Non Fiction,THE ROAD TO SERFDOM: TEXT AND DOCUMENTS--THE DEFINITIVE EDITION,"The Collected Works of F. A. Hayek, Volume 2",2,F. A. HAYEK,"HAYEK, A. F.",Adult,Adult,16,1,0
344,The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,"6,600",4.8,$11.00,2014,Fiction,THE BLOOD OF OLYMPUS,The Heroes of Olympus,5,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,8,11,0
47,Catching Fire (The Hunger Games),Suzanne Collins,"22,614",4.7,$11.00,2010,Fiction,CATCHING FIRE,The Hunger Games,2,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,6,11,0
48,Catching Fire (The Hunger Games),Suzanne Collins,"22,614",4.7,$11.00,2011,Fiction,CATCHING FIRE,The Hunger Games,2,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,6,11,0
49,Catching Fire (The Hunger Games),Suzanne Collins,"22,614",4.7,$11.00,2012,Fiction,CATCHING FIRE,The Hunger Games,2,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,6,11,0
237,Mockingjay (The Hunger Games),Suzanne Collins,"26,741",4.5,$8.00,2010,Fiction,MOCKINGJAY,The Hunger Games,3,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,5,11,0
238,Mockingjay (The Hunger Games),Suzanne Collins,"26,741",4.5,$8.00,2011,Fiction,MOCKINGJAY,The Hunger Games,3,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,5,11,0
239,Mockingjay (The Hunger Games),Suzanne Collins,"26,741",4.5,$8.00,2012,Fiction,MOCKINGJAY,The Hunger Games,3,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,5,11,0
408,The Hunger Games (The Hunger Games),Suzanne Collins,"32,122",4.7,$14.00,2010,Fiction,THE HUNGER GAMES,The Hunger Games,1,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,7,11,0
409,The Hunger Games (The Hunger Games),Suzanne Collins,"32,122",4.7,$8.00,2011,Fiction,THE HUNGER GAMES,The Hunger Games,1,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,7,11,0
410,The Hunger Games (The Hunger Games),Suzanne Collins,"32,122",4.7,$8.00,2012,Fiction,THE HUNGER GAMES,The Hunger Games,1,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,7,11,0
411,The Hunger Games Trilogy Boxed Set (The Hunger Games),Suzanne Collins,"16,949",4.8,$30.00,2011,Fiction,THE HUNGER GAMES TRILOGY BOXED SET,The Hunger Games,1-3,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,10,11,0
412,The Hunger Games Trilogy Boxed Set (The Hunger Games),Suzanne Collins,"16,949",4.8,$30.00,2012,Fiction,THE HUNGER GAMES TRILOGY BOXED SET,The Hunger Games,1-3,SUZANNE COLLINS,"COLLINS, SUZANNE",YA,Not_adult,10,11,0
457,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,"2,186",4.6,$12.00,2010,Fiction,THE RED PYRAMID,The Kane Chronicles,1,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,6,11,0
459,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,"2,091",4.8,$12.00,2012,Fiction,THE SERPENT'S SHADOW,The Kane Chronicles,3,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,6,11,0
470,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,"1,463",4.7,$10.00,2011,Fiction,THE THRONE OF FIRE,The Kane Chronicles,2,RICK RIORDAN,"RIORDAN, RICK",YA,Not_adult,7,11,0
298,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,"3,923",4.8,$16.00,2018,Non Fiction,SHIP OF FOOLS: HOW A SELFISH RULING CLASS IS BRINGING AMERICA TO THE BRINK OF REVOLUTION,(blank),,TUCKER CARLSON,"CARLSON, TUCKER",Adult,Adult,16,1,1
